Ser,Name,Station,Salinity,Temp,Ox,Density,Depth,Date,Time
1,BA,Bayelva,34.74,3.136,103.26,27.76,20.29,6/8/12,19:02:26
1,BA,Bayelva,34.72,3.135,102.99,27.744,20.19,6/8/12,19:02:28
1,BA,Bayelva,34.72,3.13,102.55,27.743,19.87,6/8/12,19:02:30
1,BA,Bayelva,34.72,3.13,102.57,27.741,19.54,6/8/12,19:02:32
1,BA,Bayelva,34.75,3.133,102.36,27.763,19.22,6/8/12,19:02:34
1,BA,Bayelva,34.71,3.134,101.97,27.73,18.91,6/8/12,19:02:36
1,BA,Bayelva,34.71,3.138,101.98,27.728,18.62,6/8/12,19:02:38
1,BA,Bayelva,34.71,3.14,101.93,27.726,18.32,6/8/12,19:02:40
1,BA,Bayelva,34.65,3.14,102.76,27.677,17.97,6/8/12,19:02:42
1,BA,Bayelva,34.61,3.144,101.55,27.643,17.6,6/8/12,19:02:44
1,BA,Bayelva,34.56,3.153,101.81,27.6,17.14,6/8/12,19:02:46
1,BA,Bayelva,34.52,3.245,102.03,27.557,16.65,6/8/12,19:02:48
1,BA,Bayelva,34.51,3.27,102.08,27.545,16.21,6/8/12,19:02:50
1,BA,Bayelva,34.44,3.277,101.46,27.487,15.89,6/8/12,19:02:52
1,BA,Bayelva,34.44,3.285,101.87,27.484,15.51,6/8/12,19:02:54
1,BA,Bayelva,34.4,3.29,102.44,27.45,15.21,6/8/12,19:02:56
1,BA,Bayelva,34.65,3.296,102.85,27.648,14.9,6/8/12,19:02:58
1,BA,Bayelva,34.7,3.301,103.11,27.686,14.58,6/8/12,19:03:00
1,BA,Bayelva,34.69,3.309,103.2,27.675,14.16,6/8/12,19:03:02
1,BA,Bayelva,34.69,3.312,103.56,27.673,13.77,6/8/12,19:03:04
1,BA,Bayelva,34.68,3.291,103.63,27.665,13.36,6/8/12,19:03:06
1,BA,Bayelva,34.72,3.347,103.67,27.69,12.96,6/8/12,19:03:08
1,BA,Bayelva,34.69,3.407,103.84,27.658,12.58,6/8/12,19:03:10
